Date,Open,High,Low,Close,Volume,SMA_10,SMA_50,EMA_12,MACD,MACD_Signal,BB_Mid,BB_Upper,BB_Lower,Daily_Return
1985-01-02,5.005719697511327,5.085737694917916,4.887709658824873,4.997072344740635,251753.40005178278,,,4.997072344740635,0.0,0.0,,,,
1985-01-03,5.0449098800952275,5.094178770148897,5.020985200637606,5.056690866348286,188773.93876839246,,,5.006244424987966,0.004755893461579674,0.000951178692315935,,,,0.011930690111060516
1985-01-04,5.121021811215229,5.221154763944579,4.9128470314702035,5.117801224074226,138742.21652364658,,,5.023407009462775,0.013302722932844624,0.0034214875404216727,,,,0.01208504916379649
1985-01-07,5.112940101119261,5.170539864412348,5.080634320813447,5.122449084003179,534939.3153483202,,,5.03864425169976,0.02021812831995895,0.006780815696329128,,,,0.0009081751567625584
1985-01-08,5.199722639054887,5.356480940629599,5.042948866918346,5.192357188763598,66687.93472078851,,,5.062292395863428,0.030982489862604545,0.011621150529584214,,,,0.013647398659116794
1985-01-09,5.295382348290243,5.506883565791948,5.153110020464827,5.296050060266278,68828.59319125564,,,5.098255113463866,0.04733482566560099,0.01876388555678757,,,,0.019970288586284912
1985-01-10,5.324846205493568,5.415356069627463,5.162043831410364,5.336129868951876,524022.062945014,,,5.13485122969279,0.06280430625351752,0.027571969696133562,,,,0.007567868171469483
1985-01-11,5.420322778284561,5.4847098228814515,5.362501693069186,5.42359969577699,171419.05953996832,,,5.1792740706288205,0.08118620109045693,0.038294815974998245,,,,0.016391997378859546
1985-01-14,5.489325452994542,5.620310452820178,5.395195456310575,5.480301599201406,479546.38433637185,,,5.225585998101526,0.09918600043997383,0.05047305286799336,,,,0.010454662328520659
1985-01-15,5.411935485598148,5.534989775173663,5.37214754615579,5.427115444520905,76920.73650474842,5.244956737664738,,5.256590528319892,0.10791531237246144,0.06196150476888698,,,,-0.009704968552871396
1985-01-16,5.545676333344069,5.645009584081675,5.377339113116743,5.534910916254911,553942.8729833039,5.298740594816165,,5.299409049540664,0.1221237817186056,0.07399396015883071,,,,0.01986238782571581
1985-01-17,5.543005520352525,5.666305683885514,5.355320992398509,5.534811358456017,213171.32276683644,5.346552644026938,,5.335624789373796,0.1318561074307043,0.08556638961320544,,,,-1.798724503432325e-05
1985-01-18,5.5627140105509305,5.697676264278838,5.418394193347518,5.553071064725403,460632.7206521862,5.390079628092056,,5.369078062504813,0.1394351299852543,0.09634013768761522,,,,0.0032990656929055007
1985-01-21,5.636621803796201,5.675112683209914,5.584156701023711,5.628427214263625,191583.17997493234,5.440677441118101,,5.408977932006168,0.14979542306112403,0.107031194762317,,,,0.013570175612717117
1985-01-22,5.6115772679398,5.788948146639982,5.474833009089957,5.6240723174338445,356927.42624284903,5.483848953985126,,5.442069375918118,0.15585799227019947,0.1167965542638935,,,,-0.0007737324591751138
1985-01-23,5.553838263661273,5.622926797241882,5.499001164434228,5.560319149793505,117100.1678798579,5.510275862937848,,5.460261648822024,0.1537459862003585,0.12418644065118652,,,,-0.011335765979166634
